District,Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,Wind Speed
Dong Da,2022-01-01 07:00:00,2022-01-01T00:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,280.2396396396397,3.17764,57.58,0.0,270.1,230.46,30.52,100,0.0,1024.6,86,15.4,6.3
Dong Da,2022-01-01 08:00:00,2022-01-01T01:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,241.7,2.7504,52.78,0.16,223.31,191.57,38.15,100,0.0,1025.5,81,16.0,6.9
Dong Da,2022-01-01 09:00:00,2022-01-01T02:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,213.9225225225225,2.34985,49.35,0.77,188.55,163.54,42.92,100,0.0,1026.5,78,16.6,7.6
Dong Da,2022-01-01 10:00:00,2022-01-01T03:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,202.68468468468467,1.9493099999999999,46.61,3.35,174.45,152.2,46.73,100,0.0,1026.5,74,17.4,8.4
Dong Da,2022-01-01 11:00:00,2022-01-01T04:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,192.06396206533194,1.2683900000000001,43.53,20.03,151.48,135.03,41.48,100,0.0,1025.9,70,18.3,8.6
Dong Da,2022-01-01 12:00:00,2022-01-01T05:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,188.71296101159115,1.00136,35.64,43.27,141.74,128.54,36.72,100,0.0,1024.7,66,19.5,9.3
Dong Da,2022-01-01 13:00:00,2022-01-01T06:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,186.97291886195995,0.8812000000000001,29.13,62.94,136.51,125.17,33.38,100,0.0,1023.4,63,20.4,9.5
Dong Da,2022-01-01 14:00:00,2022-01-01T07:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,183.34309799789253,0.81444,25.7,75.82,127.84,118.14,29.33,100,0.0,1022.6,61,20.7,10.8
Dong Da,2022-01-01 15:00:00,2022-01-01T08:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,180.9473129610116,0.79441,24.68,79.39,122.13,113.5,27.66,100,0.0,1022.2,60,20.6,11.6
Dong Da,2022-01-01 16:00:00,2022-01-01T09:00:00+00:00,Hanoi,VN,Asia/Ho_Chi_Minh,180.38967334035829,0.79441,25.02,77.96,120.46,112.42,26.23,100,0.0,1022.2,59,20.5,12.4
