UTC Time,Local Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2022-12-31T17:00:00,2023-01-01 00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,78,224.5,3.78,55.7,31.0,24.78,26.17,87,0.0,1024,73,14.8,0.0,0.66
2022-12-31T18:00:00,2023-01-01 01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,88,206.0,2.52,56.0,37.3,29.82,24.78,87,0.0,1023,75,14.6,0.0,1.0
2022-12-31T19:00:00,2023-01-01 02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,94,203.7,2.52,54.0,40.45,32.34,24.36,83,0.0,1023,79,14.3,0.0,1.0
2022-12-31T20:00:00,2023-01-01 03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,109,201.3,2.52,52.0,48.3,38.64,23.94,79,0.0,1023,82,14.1,0.0,1.0
2022-12-31T21:00:00,2023-01-01 04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,82,199.0,2.52,50.0,33.6,26.88,23.52,75,0.0,1022,86,13.8,0.0,1.0
2022-12-31T22:00:00,2023-01-01 05:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,89,204.8,3.49,46.0,37.8,30.24,23.81,46,0.0,1022,91,13.0,0.0,1.0
2022-12-31T23:00:00,2023-01-01 06:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,82,210.7,4.49,42.0,33.6,26.88,24.07,48,0.0,1023,93,12.0,0.0,1.0
2023-01-01T00:00:00,2023-01-01 07:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,81,216.5,5.46,38.0,33.1,26.46,24.36,12,0.0,1024,96,11.2,1.9,1.6
2023-01-01T01:00:00,2023-01-01 08:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,85,209.5,4.62,45.7,35.2,28.14,24.23,6,0.0,1024,79,13.5,2.3,0.66
2023-01-01T02:00:00,2023-01-01 09:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,92,202.5,3.78,53.3,39.4,31.5,24.07,5,0.0,1024,65,15.9,3.2,1.33
2023-01-01T03:00:00,2023-01-01 10:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,76,195.5,2.94,61.0,29.95,23.94,23.94,2,0.0,1024,53,18.2,4.6,2.0
2023-01-01T04:00:00,2023-01-01 11:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,80,200.6,3.91,68.3,32.55,26.04,29.27,1,0.0,1023,49,19.1,5.8,2.0
2023-01-01T05:00:00,2023-01-01 12:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,78,205.6,4.91,75.7,31.0,24.78,34.57,10,2.0,1022,46,20.0,5.9,2.0
2023-01-01T06:00:00,2023-01-01 13:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,75,210.7,5.88,83.0,29.4,23.52,39.9,16,2.0,1021,42,20.9,5.2,2.0
2023-01-01T07:00:00,2023-01-01 14:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,64,219.8,6.85,91.3,23.1,18.48,44.65,19,2.0,1021,43,21.1,4.1,1.66
2023-01-01T08:00:00,2023-01-01 15:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,71,229.0,7.85,99.7,26.8,21.42,49.43,13,0.0,1020,43,21.2,3.0,1.33
2023-01-01T09:00:00,2023-01-01 16:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,66,238.1,8.82,108.0,24.15,19.32,54.18,87,0.0,1020,43,21.4,2.0,1.0
2023-01-01T10:00:00,2023-01-01 17:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,85,327.4,21.29,77.3,35.2,28.14,65.52,87,0.0,1020,49,20.4,1.8,0.66
2023-01-01T11:00:00,2023-01-01 18:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,94,416.7,33.73,46.7,40.45,32.34,76.86,87,0.0,1021,57,19.4,0.0,0.33
2023-01-01T12:00:00,2023-01-01 19:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,121,506.0,46.2,16.0,54.6,43.68,88.2,87,0.0,1021,65,18.4,0.0,0.8
2023-01-01T13:00:00,2023-01-01 20:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,108,566.3,47.17,11.3,47.8,38.22,85.55,91,0.0,1022,70,18.1,0.0,0.33
2023-01-01T14:00:00,2023-01-01 21:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,114,626.6,48.17,6.7,50.95,40.74,82.87,95,0.0,1022,75,17.9,0.0,0.66
2023-01-01T15:00:00,2023-01-01 22:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,119,686.9,49.14,2.0,53.55,42.84,80.22,100,0.0,1023,80,17.6,0.0,1.0
2023-01-01T16:00:00,2023-01-01 23:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,117,686.5,47.59,1.3,52.5,42.0,82.19,100,0.0,1023,81,17.4,0.0,1.0
2023-01-01T17:00:00,2023-01-02 00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,152,686.1,46.07,0.7,70.9,56.7,84.13,100,0.0,1022,82,17.3,0.0,1.0
2023-01-01T18:00:00,2023-01-02 01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,151,685.7,44.52,0.0,69.85,55.86,86.1,100,0.0,1022,83,17.1,0.0,1.0
2023-01-01T19:00:00,2023-01-02 02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,140,699.7,43.97,0.0,64.05,51.24,86.81,100,0.0,1022,83,17.1,0.0,0.66
2023-01-01T20:00:00,2023-01-02 03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,137,713.7,43.39,0.0,62.5,49.98,87.49,100,0.0,1021,82,17.0,0.0,0.33
2023-01-01T21:00:00,2023-01-02 04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,145,727.7,42.84,0.0,66.7,53.34,88.2,100,0.0,1021,82,17.0,0.0,1.2
