Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
1/1/2025 7:00,2025-01-01T00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,153,493.7,43,7,153,153,71,100,0,1018,97,13.2,0.6,0.8
1/1/2025 8:00,2025-01-01T01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,190,1310,15,2.2,216,190,32,9,0,1018,97,13.2,2.2,0.8
1/1/2025 9:00,2025-01-01T02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,187,1310,15,3.2,216,187,32,1,0,1018,81,16.9,3.3,1.2
1/1/2025 10:00,2025-01-01T03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,183,1310,15,10.8,216,183,32,2,0,1019,75,18.8,4.6,1.2
1/1/2025 11:00,2025-01-01T04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,174,1175.7,15,15.5,210.7,174,32,1,0,1017,61,20.5,5.8,0.8
1/1/2025 12:00,2025-01-01T05:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,169,806,15,27,210,169,32,1,0,1016,51,22.1,6.3,0.4
1/1/2025 13:00,2025-01-01T06:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,156,907,15,24.9,200,156,32,1,0,1015,42,23.8,5.8,0
1/1/2025 14:00,2025-01-01T07:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,256,605,8,34.6,174,135,32,0,0,1014,44,23.9,4.7,0.66
1/1/2025 15:00,2025-01-01T08:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,256,806,8,34.6,142,135,26,0,0,1013,45,24,3.3,1.33
1/1/2025 16:00,2025-01-01T09:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,179,222.4,14,174,77,77,193,1,0,1013,47,24.1,2.3,2
