UTC Time,Local Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed,
1/1/2025 0:00,1/1/2025 7:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,163,259.1,23,28,94,65,91,62,0,1017,87,20.2,1.2,0.8,
1/1/2025 1:00,1/1/2025 8:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,222.2,20.7,42.7,193.8,155,104,58,0,1017,79,21.5,1.4,0.8,
1/1/2025 2:00,1/1/2025 9:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,181,185.2,18.3,57.3,226.3,181,117,54,0,1017,72,22.7,1.7,0.8,
1/1/2025 3:00,1/1/2025 10:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,270,148.2,16,72,182.5,146,130,50,0,1018,65,24,3.1,1.2,
1/1/2025 4:00,1/1/2025 11:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,232,907,308,8.6,166,117,132,50,0,1017,62,25,4.2,0.66,
1/1/2025 5:00,1/1/2025 12:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,192,806,308,11.9,138,87,126,50,0,1016,58,26,4.6,1.33,
1/1/2025 6:00,1/1/2025 13:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,121,103.9,9,95,67,43,107,50,0,1015,55,27,4.7,2,
1/1/2025 7:00,1/1/2025 14:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,102.3,9,96.3,73.8,59,102,41,0,1014,56,26.8,3.8,2.33,
1/1/2025 8:00,1/1/2025 15:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,152,100.8,9,97.7,71.3,57,97,33,0,1014,57,26.7,1.9,2.66,
1/1/2025 9:00,1/1/2025 16:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,155,99.2,9,99,73.8,59,92,25,0,1013,58,26.5,0.9,3,
1/1/2025 10:00,1/1/2025 17:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,145,115.9,11,94.7,65,52,91.3,50,0,1014,66,25.2,1.5,3,
1/1/2025 11:00,1/1/2025 18:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,152,132.7,13,90.3,71.3,57,90.7,75,0,1014,74,23.8,0,3,
1/1/2025 12:00,1/1/2025 19:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,110,149.4,15,86,61,39,90,100,0,1015,84,22.5,0,3,
1/1/2025 13:00,1/1/2025 20:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,179,151.5,14.3,86.3,96.3,77,86.3,100,0,1015,86,22.2,0,2.33,
1/1/2025 14:00,1/1/2025 21:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,187,153.7,13.7,86.7,103.8,83,82.7,100,0,1016,88,22,0,1.66,
1/1/2025 15:00,1/1/2025 22:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,189,155.8,13,87,106.3,85,79,100,0,1016,90,21.7,0,1,
1/1/2025 16:00,1/1/2025 23:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,189,145.1,12.3,87.7,106.3,85,71.3,100,0,1016,91,21.7,0,1,
1/1/2025 17:00,1/2/2025 0:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,189,134.4,11.7,88.3,106.3,85,63.7,100,0,1016,92,21.6,0,1,
1/1/2025 18:00,1/2/2025 1:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,112,123.7,11,89,60,40,56,100,0,1016,93,21.6,0,1,
1/1/2025 19:00,1/2/2025 2:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,189,132.5,11,85.7,106.3,85,54.3,100,0,1015,93,21.5,0,1,
1/1/2025 20:00,1/2/2025 3:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,189,141.2,11,82.3,106.3,85,52.7,100,0,1015,93,21.3,0,1,
1/1/2025 21:00,1/2/2025 4:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,187,150,11,79,103.8,83,51,100,0,1014,94,21.2,0,1,
1/1/2025 22:00,1/2/2025 5:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,181,168.7,12.7,73.3,98.8,79,56.7,100,0,1015,93,21.1,0,1,
1/1/2025 23:00,1/2/2025 6:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,181,187.3,14.3,67.7,98.8,79,62.3,100,0,1015,93,21.1,0,1,
1/2/2025 0:00,1/2/2025 7:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,187,206,16,62,103.8,83,68,100,0,1016,93,21,0.8,1,
1/2/2025 1:00,1/2/2025 8:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,165,193,16,67,86.8,66.67,80.7,91,0,1016,90,21.7,1.4,0.66,
