City,Country code,timezone,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed,Local Time,UTC Time
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1024,73,14.8,0.0,0.66,2023-01-01T00:00:00,2022-12-31T17:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1023,75,14.6,0.0,1.0,2023-01-01T01:00:00,2022-12-31T18:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,83,0.0,1023,79,14.3,0.0,1.0,2023-01-01T02:00:00,2022-12-31T19:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,79,0.0,1023,82,14.1,0.0,1.0,2023-01-01T03:00:00,2022-12-31T20:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,75,0.0,1022,86,13.8,0.0,1.0,2023-01-01T04:00:00,2022-12-31T21:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,46,0.0,1022,91,13.0,0.0,1.0,2023-01-01T05:00:00,2022-12-31T22:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,48,0.0,1023,93,12.0,0.0,1.0,2023-01-01T06:00:00,2022-12-31T23:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,12,0.0,1024,96,11.2,1.9,1.6,2023-01-01T07:00:00,2023-01-01T00:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,6,0.0,1024,79,13.5,2.3,0.66,2023-01-01T08:00:00,2023-01-01T01:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,5,0.0,1024,65,15.9,3.2,1.33,2023-01-01T09:00:00,2023-01-01T02:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,2,0.0,1024,53,18.2,4.6,2.0,2023-01-01T10:00:00,2023-01-01T03:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,1,0.0,1023,49,19.1,5.8,2.0,2023-01-01T11:00:00,2023-01-01T04:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,10,2.0,1022,46,20.0,5.9,2.0,2023-01-01T12:00:00,2023-01-01T05:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,16,2.0,1021,42,20.9,5.2,2.0,2023-01-01T13:00:00,2023-01-01T06:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,19,2.0,1021,43,21.1,4.1,1.66,2023-01-01T14:00:00,2023-01-01T07:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,13,0.0,1020,43,21.2,3.0,1.33,2023-01-01T15:00:00,2023-01-01T08:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1020,43,21.4,2.0,1.0,2023-01-01T16:00:00,2023-01-01T09:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1020,49,20.4,1.8,0.66,2023-01-01T17:00:00,2023-01-01T10:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1021,57,19.4,0.0,0.33,2023-01-01T18:00:00,2023-01-01T11:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1021,65,18.4,0.0,0.8,2023-01-01T19:00:00,2023-01-01T12:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,91,0.0,1022,70,18.1,0.0,0.33,2023-01-01T20:00:00,2023-01-01T13:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,95,0.0,1022,75,17.9,0.0,0.66,2023-01-01T21:00:00,2023-01-01T14:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1023,80,17.6,0.0,1.0,2023-01-01T22:00:00,2023-01-01T15:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1023,81,17.4,0.0,1.0,2023-01-01T23:00:00,2023-01-01T16:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,82,17.3,0.0,1.0,2023-01-02T00:00:00,2023-01-01T17:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,83,17.1,0.0,1.0,2023-01-02T01:00:00,2023-01-01T18:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,83,17.1,0.0,0.66,2023-01-02T02:00:00,2023-01-01T19:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1021,82,17.0,0.0,0.33,2023-01-02T03:00:00,2023-01-01T20:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1021,82,17.0,0.0,1.2,2023-01-02T04:00:00,2023-01-01T21:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,83,16.9,0.0,1.6,2023-01-02T05:00:00,2023-01-01T22:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,84,16.9,0.0,1.6,2023-01-02T06:00:00,2023-01-01T23:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1023,85,16.8,0.6,1.6,2023-01-02T07:00:00,2023-01-02T00:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,76,17.7,0.7,0.33,2023-01-02T08:00:00,2023-01-02T01:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,68,18.7,1.0,0.66,2023-01-02T09:00:00,2023-01-02T02:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1025,61,19.6,1.4,1.0,2023-01-02T10:00:00,2023-01-02T03:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,60,19.9,1.8,1.0,2023-01-02T11:00:00,2023-01-02T04:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1023,58,20.1,2.0,1.0,2023-01-02T12:00:00,2023-01-02T05:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,57,20.4,1.9,1.0,2023-01-02T13:00:00,2023-01-02T06:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,56,20.4,1.5,1.33,2023-01-02T14:00:00,2023-01-02T07:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,56,20.4,1.0,1.66,2023-01-02T15:00:00,2023-01-02T08:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1021,55,20.4,0.7,2.0,2023-01-02T16:00:00,2023-01-02T09:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,59,19.7,0.6,2.33,2023-01-02T17:00:00,2023-01-02T10:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1023,63,19.1,0.0,2.66,2023-01-02T18:00:00,2023-01-02T11:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1023,68,18.4,0.0,3.0,2023-01-02T19:00:00,2023-01-02T12:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,69,18.1,0.0,3.0,2023-01-02T20:00:00,2023-01-02T13:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,70,17.8,0.0,3.0,2023-01-02T21:00:00,2023-01-02T14:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1025,71,17.5,0.0,3.0,2023-01-02T22:00:00,2023-01-02T15:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1025,72,17.3,0.0,2.66,2023-01-02T23:00:00,2023-01-02T16:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1025,74,17.2,0.0,2.33,2023-01-03T00:00:00,2023-01-02T17:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,76,17.0,0.0,2.0,2023-01-03T01:00:00,2023-01-02T18:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,79,16.5,0.0,1.66,2023-01-03T02:00:00,2023-01-02T19:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,83,16.1,0.0,1.33,2023-01-03T03:00:00,2023-01-02T20:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,86,15.6,0.0,1.0,2023-01-03T04:00:00,2023-01-02T21:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1024,90,15.5,0.0,1.0,2023-01-03T05:00:00,2023-01-02T22:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1025,93,15.5,0.0,1.0,2023-01-03T06:00:00,2023-01-02T23:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1025,97,15.4,0.6,1.0,2023-01-03T07:00:00,2023-01-03T00:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1025,86,16.1,0.7,1.33,2023-01-03T08:00:00,2023-01-03T01:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1026,77,16.9,1.0,1.66,2023-01-03T09:00:00,2023-01-03T02:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1026,69,17.6,1.4,2.0,2023-01-03T10:00:00,2023-01-03T03:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,95,0.0,1025,63,18.5,1.8,1.66,2023-01-03T11:00:00,2023-01-03T04:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,91,0.0,1024,57,19.3,2.1,1.33,2023-01-03T12:00:00,2023-01-03T05:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1023,52,20.2,1.9,1.0,2023-01-03T13:00:00,2023-01-03T06:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1022,52,20.3,1.9,1.0,2023-01-03T14:00:00,2023-01-03T07:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1021,52,20.3,1.6,1.0,2023-01-03T15:00:00,2023-01-03T08:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1020,51,20.4,1.0,1.0,2023-01-03T16:00:00,2023-01-03T09:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,91,0.0,1021,57,19.8,1.1,1.33,2023-01-03T17:00:00,2023-01-03T10:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,95,0.0,1021,63,19.1,0.0,1.66,2023-01-03T18:00:00,2023-01-03T11:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,100,0.0,1022,69,18.5,0.0,2.0,2023-01-03T19:00:00,2023-01-03T12:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,95,0.0,1022,72,18.2,0.0,2.0,2023-01-03T20:00:00,2023-01-03T13:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,91,0.0,1023,74,18.0,0.0,2.0,2023-01-03T21:00:00,2023-01-03T14:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1023,77,17.7,0.0,2.0,2023-01-03T22:00:00,2023-01-03T15:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1023,80,17.6,0.0,2.0,2023-01-03T23:00:00,2023-01-03T16:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1022,82,17.4,0.0,2.0,2023-01-04T00:00:00,2023-01-03T17:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,87,0.0,1022,84,17.3,0.0,2.0,2023-01-04T01:00:00,2023-01-03T18:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,79,0.0,1021,86,17.0,0.0,1.33,2023-01-04T02:00:00,2023-01-03T19:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,70,0.0,1021,87,16.7,0.0,0.66,2023-01-04T03:00:00,2023-01-03T20:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,62,0.0,1021,89,16.4,0.0,0.8,2023-01-04T04:00:00,2023-01-03T21:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,66,0.0,1021,90,16.2,0.0,0.33,2023-01-04T05:00:00,2023-01-03T22:00:00
Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,70,0.0,1022,92,16.1,0.0,0.66,2023-01-04T06:00:00,2023-01-03T23:00:00
