p,q,P,Q,order,seasonal_order,AIC,BIC,MAE,train_time,converged
0,0,0,0,"(0, 0, 0)","(0, 0, 0, 7)",6411.8842977405475,6416.2524849268975,47.50848498858447,0.02,True
0,0,0,1,"(0, 0, 0)","(0, 0, 1, 7)",6013.46270122452,6022.174916545911,32.51826750311386,0.05,True
0,0,1,0,"(0, 0, 0)","(1, 0, 0, 7)",5788.020004950303,5796.735689483319,23.19656388675256,0.03,True
0,0,1,1,"(0, 0, 0)","(1, 0, 1, 7)",5662.160521702666,5675.228844684754,20.711393282614644,0.09,True
0,1,0,0,"(0, 0, 1)","(0, 0, 0, 7)",5817.876118362659,5826.609059258122,27.257946678428997,0.06,True
0,1,0,1,"(0, 0, 1)","(0, 0, 1, 7)",5576.406624890179,5589.469735012571,23.04437680336691,0.1,True
0,1,1,0,"(0, 0, 1)","(1, 0, 0, 7)",5435.378824836515,5448.45235163604,18.551721466157066,0.07,True
0,1,1,1,"(0, 0, 1)","(1, 0, 1, 7)",5264.632347755182,5282.049827918372,15.953388896185647,0.17,True
0,2,0,0,"(0, 0, 2)","(0, 0, 0, 7)",5524.334546417381,5537.428798687936,20.575594212651,0.06,True
0,2,0,1,"(0, 0, 2)","(0, 0, 1, 7)",5373.495578166832,5390.906095752111,19.481278883120538,0.17,True
0,2,1,0,"(0, 0, 2)","(1, 0, 0, 7)",5328.582527548242,5346.013896614274,17.11002453888228,0.1,True
0,2,1,1,"(0, 0, 2)","(1, 0, 1, 7)",5144.801826726511,5166.5649737081085,14.671763023115359,0.23,True
1,0,0,0,"(1, 0, 0)","(0, 0, 0, 7)",5092.737771285841,5101.474145658542,12.738564037841385,0.02,True
1,0,0,1,"(1, 0, 0)","(0, 0, 1, 7)",5024.463898768574,5037.532221750662,12.72421808454117,0.06,True
1,0,1,0,"(1, 0, 0)","(1, 0, 0, 7)",5024.206985287601,5037.275308269689,12.72402437995426,0.06,True
1,0,1,1,"(1, 0, 0)","(1, 0, 1, 7)",5025.810372126152,5043.234802768936,12.728138188522232,0.12,True
1,1,0,0,"(1, 0, 1)","(0, 0, 0, 7)",5085.580258986873,5098.679670330067,12.741899645458004,0.03,True
1,1,0,1,"(1, 0, 1)","(0, 0, 1, 7)",5018.701803477756,5036.1192836409455,12.726740571686511,0.08,True
1,1,1,0,"(1, 0, 1)","(1, 0, 0, 7)",5026.205974720987,5043.6304053637705,12.725466700667829,0.08,True
1,1,1,1,"(1, 0, 1)","(1, 0, 1, 7)",5019.823521214524,5041.595371418511,12.732979572537548,0.15,True
1,2,0,0,"(1, 0, 2)","(0, 0, 0, 7)",5054.210013304237,5071.669016331644,12.470949711456912,0.05,True
1,2,0,1,"(1, 0, 2)","(0, 0, 1, 7)",4988.898349672753,5010.661496654351,12.440593662252567,0.11,True
1,2,1,0,"(1, 0, 2)","(1, 0, 0, 7)",5004.183429388193,5025.963967691672,12.446611037381674,0.12,True
1,2,1,1,"(1, 0, 2)","(1, 0, 1, 7)",4990.427962020301,5016.543738398218,12.463209315696243,0.2,True
2,0,0,0,"(2, 0, 0)","(0, 0, 0, 7)",5085.579815808852,5098.679227152046,12.739930962930497,0.03,True
2,0,0,1,"(2, 0, 0)","(0, 0, 1, 7)",5026.461980368552,5043.886411011335,12.725605247672085,0.09,True
2,0,1,0,"(2, 0, 0)","(1, 0, 0, 7)",5018.406734278399,5035.824214441589,12.725888295445847,0.08,True
2,0,1,1,"(2, 0, 0)","(1, 0, 1, 7)",5019.827101664414,5041.598951868401,12.730832254267293,0.15,True
2,1,0,0,"(2, 0, 1)","(0, 0, 0, 7)",5087.595181621739,5105.061063412665,12.738313595836868,0.25,True
2,1,0,1,"(2, 0, 1)","(0, 0, 1, 7)",5020.701720802905,5042.473571006892,12.724115921992949,0.45,True
2,1,1,0,"(2, 0, 1)","(1, 0, 0, 7)",5020.406810931576,5042.178661135563,12.723768210444806,0.49,True
2,1,1,1,"(2, 0, 1)","(1, 0, 1, 7)",5028.768770421017,5054.894990665801,12.85810510196465,0.71,True
2,2,0,0,"(2, 0, 2)","(0, 0, 0, 7)",5047.24283170504,5069.0665854892995,12.400193382565641,0.2,True
2,2,0,1,"(2, 0, 2)","(0, 0, 1, 7)",4981.740130449463,5007.855906827381,12.466533562114716,0.43,True
2,2,1,0,"(2, 0, 2)","(1, 0, 0, 7)",4989.500524031772,5015.626744276557,12.45884765161214,0.32,True
2,2,1,1,"(2, 0, 2)","(1, 0, 1, 7)",4982.1971295168305,5012.6655352910675,12.499686629024822,0.45,True
